SỐ GPLH,NGÀY HẾT HẠN,Tên nguyên liệu,PHÂN LOẠI,TIÊU CHUẨN,CƠ SỞ SẢN XUẤT NGUYÊN LIỆU,NƯỚC SẢN XUẤT NGUYÊN LIỆU,ĐỊA CHỈ CƠ SỞ SẢN XUẤT NGUYÊN LIỆU,PHẢI CẤP PHÉP NHẬP KHẨU
VD-23208-15,2027-04-20T00:00:00+07:00,Sodium dihydrogen phosphate dihydrate (Tên thương mại: Sodium dihydrogen phosphate dihydrate EMPROVE ESSENTIAL),Tá dược,Current EP,Merck KGaA,Germany,"Frankfurter Straße 250 (Strasse 250), 64293 Darmstadt",False
VD-23208-15,2027-04-20T00:00:00+07:00,Triethyl citrate (Tên thương mại: Hydagen CAT),Tá dược,Current USP,BASF Personal Care and Nutrition GmbH,Germany,"Henkelstr. 67 (Henkelstrasse 67), 40589 Duesseldorf",False
VD-23208-15,2027-04-20T00:00:00+07:00,Sodium Starch Glycolate (Tên thương mại: Primojel),Tá dược,Current EP,"DFE Pharma GmbH & Co. KG, Goch, Germany (Production Site: DFE Pharma B.V., Foxhol, The Netherlands)",The Netherlands,"Avebeweg 3, 9607 PT, Foxhol",False
VD-23208-15,2027-04-20T00:00:00+07:00,Magnesium stearate (Magnesium stearate Eur. Phar.),Tá dược,Current EP,Faci Asia Pacific Pte Ltd,Singapore,"1 Merlimau Place, Jurong Island, Singapore 627862",False
VD-23208-15,2027-04-20T00:00:00+07:00,Red Iron Oxide (Tên thương mại: 17045 Red Iron Oxide),Tá dược,Nhà sản xuất,Univar Solutions BV (Univar Solutions),England,"Victoria House, Radford Way, Billericay, Essex, CM12 0DX",False
VD-23208-15,2027-04-20T00:00:00+07:00,Macrogol 6000 (Tên thương mại: Polyglykol 6000 PF),Tá dược,Current EP,Clariant Produkte (Deutschland) GmbH (Clariant),Germany,"Industrieparkstrasse 1, D-84508 Burgkirchen",False
VD-23208-15,2027-04-20T00:00:00+07:00,Povidone K30 (Tên thương mại: Plasdon K29/32),Tá dược,Current EP,"Ashland Specialty Ingredients (ASI)/ISP Technologies Inc., Affilate of Ashland (Ashland)",United States,"4501 Attwater Ave (HWY 146), Texas City, TX 77590",False
VD-23208-15,2027-04-20T00:00:00+07:00,Talc (Tên thương mại: Talc Luzenac Pharma),Tá dược,Current EP,Imerys Talc Italy S.p.A (Imerys),Italy,"Via Nazionale 121, 10060 PORTE (TO)",False
VD-23208-15,2027-04-20T00:00:00+07:00,Microcrystalline cellulose (Comprecel),Tá dược,Current EP,Mingtai Chemical Co. Ltd./ Taiwan,Taiwan,"1142, Shin Hsing Rd. Bah-Der District, Taoyuan City",False
VD-23208-15,2027-04-20T00:00:00+07:00,Yellow iron oxide (Tên thương mại: 17049 Yellow Iron Oxide),Tá dược,Nhà sản xuất,Univar Solutions BV (Univar Solutions),England,"Victoria House, Radford Way, Billericay, Essex, CM12 0DX",False
VD-23208-15,2027-04-20T00:00:00+07:00,"Colloidal silicon dioxide/Colloidal anhydrous sillica (Tên thương mại: HDK N20 Pharma, Hydrophilic Pyrogenic Silica)",Tá dược,Current EP,Wacker Chemie AG,Germany,"Friedrich-von-Heyden-Platz 1, 01612 Nünchritz",False
VD-23208-15,2027-04-20T00:00:00+07:00,Titanium dioxide (Tên thương mại: Titanium dioxide E-171 PH),Tá dược,Current EP,"Proquimac PFC, S.A.",Spain,Pol. Ind Can Torella. C/Berlin 3-5  08233 Vacarisses (Barcelona),False
VD-23208-15,2027-04-20T00:00:00+07:00,Lactose monohydrate (Tên thương mại: Lactose HMS impalpable grade 200M),Tá dược,Current EP,"DFE Pharma GmbH & Co.KG, Goch, Germany (Production site: FrieslandCampina DMV B.V, The Netherlands)",The Netherlands,"NCB-laan 80, 5462 GE Veghel",False
VD-23208-15,2027-04-20T00:00:00+07:00,Sodium laurilsulfate (Tên thương mại: Kolliphor SLS Fine),Tá dược,Current EP,BASF Personal Care and Nutrition GmbH,Germany,"Henkelstr. 67 (Henkelstrasse 67), 40589 Duesseldorf",False
VD-23208-15,2027-04-20T00:00:00+07:00,Maize starch (Tên thương mại: Maize starch 5%),Tá dược,Current EP/ Current USP,Roquette Freres,France,"1 Rue de la Haute Loge, 62136 Lestrem",False
VD-23208-15,2027-04-20T00:00:00+07:00,Macrogol 400/Polyethylene glycol (Tên thương mại: Kollisolv PEG 400),Tá dược,Current EP,BASF SE,Germany,"Carl - Bosch - Str. 38 (Strasse 38), 67056, Ludwigshafen",False
VD-23208-15,2027-04-20T00:00:00+07:00,Methacrylic acid - ethyl acrylate copolymer (Tên thương mại: Kollicoat MAE 100 P),Tá dược,Current EP,"BASF SE (Co-Manufacturer: Schwarzwaldmilch GmbH, Offenburg, Germany)",Germany,"Carl - Bosch - Str. 38 (Strasse 38), 67056, Ludwigshafen",False
VD-23208-15,2027-04-20T00:00:00+07:00,Hypromellose (Tên thương mại: Pharmacoat),Tá dược,Current USP,"Shin-Etsu Chemical Co., Ltd",Japan,"Naoetsu Plant, 28-1 Nishifukushima, Kubiki-ku, Joetsu-shi, Niigata 942-8601",False
VD-23256-15,2020-09-09T00:00:00+07:00,Alverine citrate,Dược chất,EP 9.0,"Yancheng ChemHome Chemical Co., Ltd.",CHINA,N/A,False
VD-23256-15,2020-09-09T00:00:00+07:00,Alverine citrate,Dược chất,EP 9.0,Procos S.p.A,ITALY,N/A,False
VD-23258-15,2020-09-09T00:00:00+07:00,Potassium Clavulanate and Silicon Dioxide 1:1,Dược chất,EP 9.0,Sandoz Industrial Products SpA.,ITALY,"Corso Verona, 165, 38068 Rovereto (Trento), Italy.",False
VD-23259-15,2020-09-09T00:00:00+07:00,Clobetasol propionate,Dược chất,USP 35,"Hangzhou Starshine Pharmaceutical Co., Ltd.",CHINA,"10/F, Tianyuan building, No.508 Wensan road, Hangzhou, China",False
VD-23259-15,2022-09-02T00:00:00+07:00,Ketoconazole,Dược chất,USP42,Sharon Bio-Medicine Ltd,INDIA,"W-34 & 34/1, MIDC, Taloja,
Dist-Raigad, Maharashtra, India",False
VD-23259-15,2022-09-02T00:00:00+07:00,Clobetasol propionate,Dược chất,USP43,"Zhejiang Xianju Xianle Pharmaceutical Co.,Ltd",CHINA,"No.5 Chuancheng South Road, Xianju, Zhejiang 317300, China",False
VD-23260-15,2020-09-09T00:00:00+07:00,Xylometazoline hydrochloride,Dược chất,USP 40,"Wuhan Wuyao pharmaceutical Co., Ltd.",CHINA,"No. 18, Wangfen road, Fuchi Town, Yangxin county, Huangshi city, Hubei province, China",False
VD-23292-15,2020-09-09T00:00:00+07:00,Isotretinoin,Dược chất,"USP 40, EP 8.0, BP 2016, TCCS",INTATRADE CHEMICALS GMBH,Đức,"Bahnhofstr.1, D-06774 Muldestausee OT Freidersdorf, Germany",True
VD-23293-15,2020-09-09T00:00:00+07:00,Isotretinoin,Dược chất,"USP 40, EP 8.0, BP 2016, TCCS",INTATRADE CHEMICALS GMBH,Đức,Đức,True
VD-23295-15,2020-09-09T00:00:00+07:00,Acid ursodeoxycholic,Dược chất,"USP 40, EP 6.0","Sichuan Xieli Pharmaceutical Co., Ltd.",CHINA,China,False
VD-23295-15,2020-09-09T00:00:00+07:00,Acid ursodeoxycholic,Dược chất,"USP 40, EP 6.0","Suzhou Tianlu Bio-pharmaceutical Co., Ltd.",CHINA,China,False
VD-23295-15,2020-09-09T00:00:00+07:00,Acid ursodeoxycholic,Dược chất,"USP 40, EP 6.0,EP 7.0, BP 2014","Jizhou City Huayang Chemical Co., Ltd.",CHINA,China,False
VD-23295-15,2020-09-09T00:00:00+07:00,Acid ursodeoxycholic,Dược chất,"USP 40,EP 7.0, BP 2014","Runze Pharmaceutical (Suzhou) Co., Ltd.",CHINA,China,False
VD-23298-15,2022-12-31T00:00:00+07:00,Microcrystalline cellulose PH-101 ( Tên TM: Comprecel- Type : M101D+),Tá dược,USP 32-NF 27,"MINGTAI CHEMICAL CO., LTD.",China,"1142 Shin Hsing Rd., Bah-Der District, Taoyuan City, Taiwan, China",False
VD-23298-15,2022-12-31T00:00:00+07:00,Hydroxypropyl cellulose (L) ( HPC-L),Tá dược,USP 32-NF 27,"SHIN POONG PHARM. CO., LTD.",Korea,"434-4 Moknae-dong, Danwon-gu, Ansan-si, Gyeonggi-do, Korea",False
VD-23298-15,2022-12-31T00:00:00+07:00,Magnesium stearate ( Tên TM: Tablube),Tá dược,USP 32-NF 27,NITIKA PHARMACEUTICAL SPECIALITIES PVT. LTD.,India,"Block No. 03 of Plot No. 1296, 1297/08, Ward No. 03, Mouza-Waddhamna, Amravati Road, Nagpur. Nagpur 440023, Maharashtra State, India",False
VD-23298-15,2022-12-31T00:00:00+07:00,Yellow FD&C No. 203 ( Tên TM: Quinoleine Yellow 70% Conacert),Tá dược,Nhà sản xuất,"PROQUIMAC PFC, S.A.",Spain,"C/ Berlin, 5-a Pol. Ind. Can Torrella, 08233 Vacarisses, Barcelona, Spain",False
VD-23298-15,2022-12-31T00:00:00+07:00,Fumaric acid,Tá dược,USP 32-NF 27,ANMOL CHEMICALS,India,"Plot No. J-63, Road No. U-6, MIDC Taloja, Dist. Raigad, Pin: 410208, India",False
VD-23298-15,2022-12-31T00:00:00+07:00,Sodium starch glycolate,Tá dược,USP 32-NF 27,ROQUETTE( ROQUETTE FRERES),France,"1 Rue de la Haute Loge, 62136 Lestrem, France",False
VD-23298-15,2022-12-31T00:00:00+07:00,Lactose monohydrate ( Tên TM: Milled Lactose Monohydrate),Tá dược,USP 32-NF 27,DFE PHARMA (DMV-Fonterra Excipients GmbH & Co. KG),The  Netherlands,"FrieslandCampina DMV B.V., NCB-Iaan 80, Veghel, 5462 GE, The Netherlands",False
VD-23301-15,2020-09-09T00:00:00+07:00,Piroxicam,Dược chất,USP 37,"Shin poong Pharmaceutical Co.,Ltd",Korea,N/A,False
VD-23301-15,2022-12-31T00:00:00+07:00,Propylene glycol,Tá dược,USP 35-NF 30,THE DOW CHEMICAL COMPANY (Dow Chemical Thailand Ltd.),Thailand,"10 Moo 2, Asia Industrial Estate, 71, Banchang Sub-District, Banchang District, Rayong 21130, Thailand",False
VD-23301-15,2022-12-31T00:00:00+07:00,L-Menthol ( Tên TM: ( Natural) L- Menthol Crystals),Tá dược,USP 35- NF 30,TIEN YUAN CHEMICAL (PTE) LTD.,Singapore,"18 Chin Bee Road, Jurong Town, 619827, Singapore",False
VD-23301-15,2022-12-31T00:00:00+07:00,Hydroxypropyl cellulose (H) (HPC-H),Tá dược,USP 35- NF 30,"NIPPON SODA CO., LTD.",Japan,"Nihongi Plant, 950, Fujisawa, Nakago-ku, Joetsu-shi, Niigata, 949-2392, Japan",False
VD-23301-15,2022-12-31T00:00:00+07:00,Triethanolamine,Tá dược,USP 35-NF 30,PANREAC APPLICHEM ( PANREAC QUÍMICA SLU),Spain,"C/Garraf, 2 Polígono Pla de la Bruguera E-08211 Castellar del Vallès(Barcelona) Spain",False
VD-23301-15,2022-12-31T00:00:00+07:00,Carbomer 940 ( Tên TM: Carbopol 940),Tá dược,USP 35-NF 30,LUBRIZOL ADVANCED MATERIALS INC.,USA,"2468 Industrial Parkway, Calvert City, KY 42029, USA",False
VD-23301-15,2022-12-31T00:00:00+07:00,Polysorbate 20 ( Tên TM: SP Tween 20 MBAL- LQ -( SG),Tá dược,USP 35- NF 30,CRODA SINGAPORE PTE LTD,Singapore,"30 Seraya Avenue, 627884, Singapore",False
VD-23301-15,2020-09-09T00:00:00+07:00,Piroxicam,Dược chất,USP 37,"Shin poong Pharmaceutical Co.,Ltd",Korea,N/A,False
VD-23301-15,2022-12-31T00:00:00+07:00,D-sorbitol solution 70%,Tá dược,USP 35-NF 30,"PAIK KWANG INDUSTRIAL CO., LTD.",Korea,"494-16, Imhae-ro, Gunsan, Jeollabuk-do, Korea",False
VD-23301-15,2022-12-31T00:00:00+07:00,Benzyl alcohol,Tá dược,USP 35- NF 30,"DAEJUNG CHEMICALS  & METALS CO., LTD.",Korea,"186 Seohaean-ro, Siheung-si, Gyeonggi-do, Korea",False
VD-23305-15,2022-12-31T00:00:00+07:00,Magnesium stearate ( Tên TM: Tablube),Tá dược,USP 35-NF 30,NITIKA PHARMACEUTICAL SPECIALITIES PVT. LTD.,India,"Block No. 03 of Plot No. 1296, 1297/08, Ward No. 03, Mouza-Waddhamna, Amravati Road, Nagpur. Nagpur 440023, Maharashtra State, India",False
VD-23305-15,2022-12-31T00:00:00+07:00,Opadry OY-S-7223 White (Tên TM: Opadry Complete Film Coating System OY-S-7223 White),Tá dược,Nhà sản xuất,SHANGHAI COLORCON COATING TECHNOLOGY LIMITED,China,"No. 588 Chundong Road, Xinzhuang Industry Zone, Minhang Shanghai 201108, China",False
VD-23305-15,2022-12-31T00:00:00+07:00,Corn starch ( Tên TM: Corn Starch B),Tá dược,USP 35-NF 30,ROQUETTE FRERES,France,"1 Rue de la Haute Loge, 62136 Lestrem, France",False
VD-23305-15,2022-12-31T00:00:00+07:00,Sodium starch glycolate,Tá dược,USP 35-NF 30,ROQUETTE FRERES,France,"1 Rue de la Haute Loge, 62136 Lestrem, France",False
VD-23305-15,2022-12-31T00:00:00+07:00,Hydroxypropyl cellulose (L) (HPC-L),Tá dược,USP 35-NF 30,"NIPPON SODA CO., LTD.",Japan,"Nihongi Plant 950, Fujisawa, Nakago-ku, Joetsu, Niigata, 949-2392, Japan",False
VD-23329-15,2022-02-19T00:00:00+07:00,Dihydroergotamin mesylat,Dược chất,USP 43,AMRI Italy S.r.l.,ITALY,"Via Volturno, 41/43, ROZZANO, 20089, Italy",False
VD-23334-15,2020-09-09T00:00:00+07:00,Methylprednisolon,Dược chất,USP 38,Sanofi Chimie,France,"63480 Vertolaye, France",False
VD-23334-15,2020-09-09T00:00:00+07:00,Methylprednisolon,Dược chất,USP 38,Sanofi Chimie,France,"63480 Vertolaye, France",False
VD-23334-15,2020-09-09T00:00:00+07:00,Methylprednisolon,Dược chất,USP 38,Tianjin Tianyao Pharmaceutical Co. Ltd.,CHINA,"No.19, Xinye 9th Street, West Area of Tianjin Economic-
Technological Development Area, Tianjin, 300462",False
VD-23334-15,2020-09-09T00:00:00+07:00,Methylprednisolon,Dược chất,USP 38,Tianjin Tianyao Pharmaceutical Co. Ltd.,CHINA,"No.19, Xinye 9th Street, West Area of Tianjin Economic-
Technological Development Area, Tianjin, 300462",False
VD-23335-15,2022-02-23T00:00:00+07:00,PharSQ Base DS 30,Tá dược,EP phiên bản hiện hành,Chemische Fabrik Budenheim KG,Germany,"Rheinstraße 27, 55257 Budenheim",False
VD-23335-15,2022-12-31T00:00:00+07:00,Disodium phosphate 12-hydrate (PharSQ  Base DS 49) (Dinatri hydrophosphat),Tá dược,EP 9.0,Chemische Fabrik Budenheim KG,Germany,"Rheinstraße 27, 55257 Budenheim",False
VD-23336-15,2020-09-09T00:00:00+07:00,"Arginine hydrochloride
(L- Arginine monohydrochloride)",Dược chất,EP 9.0,"Shanghai Ajinomoto Amino Acid Co., Ltd.",CHINA,"No. 718, East Rongle Road, Songjiang District, Shanghai",False
VD-23336-15,2022-12-31T00:00:00+07:00,"Arginine hydrochloride
(L- Arginine monohydrochloride)",Dược chất,EP 9.0,Daesang Corporation,Korea,"208, Oehang 1-gil, Gunsan-si, Jeollabuk-do, Republic of Korea.",False
VD-23338-15,2022-03-02T00:00:00+07:00,"""Halal"" Hard Gelatin Capsules (Empty Hard Gelatin Capsule) size 2 caramel OP - flesh OP (36913-37923)",Vỏ nang,In-house,PT. Capsugel Indonesia,Indonesia,"JI. Raya Bogor Km. 42,5, Padurenan RT03/RW07, Kel. Pabuaran, Cibinong Bogor, Jawa Barat, Indonesia 16916",False
VD-23341-15,2020-09-09T00:00:00+07:00,Atorvastatin calcium,Dược chất,USP 38,Dr. Reddy’s Laboratories Limited,INDIA,"Chemical Technical Operations - Unit-II, Plot No. 1, 75A, 75B, 110, 111 and 112, Sri Venkateswara Co-operative Industrial Estate, Bollaram, Jinnaram Madal, Sangareddy District, 
Telangana - 502325",False
VD-23341-15,2027-04-20T00:00:00+07:00,TWEEN 80 PHARMA-LQ-(SG) (Polysorbate 80),Tá dược,EP 9.2,Croda Singapore Pte Ltd,Singapore,30 Seraya Avenue Singapore 627884,False
VD-23341-15,2020-12-17T00:00:00+07:00,Atorvastatin calcium,Dược chất,USP 38,Centrient Pharmaceuticals India Private Limited,INDIA,"Bhai Mohan Singh Nagar, Toansa, Distt. Shahid Bhagat Singh Nagar, 144 533, Punjab",False
VD-23341-15,2020-12-17T00:00:00+07:00,Atorvastatin calcium,Dược chất,USP 38,Centrient Pharmaceuticals India Private Limited,INDIA,"Bhai Mohan Singh Nagar, Toansa, Distt. Shahid Bhagat Singh Nagar, 144 533, Punjab",False
VD-23341-15,2020-09-09T00:00:00+07:00,Atorvastatin calcium,Dược chất,USP 38,Dr. Reddy’s Laboratories Limited,INDIA,India,False
VD-23345-15,2024-12-31T00:00:00+07:00,Croscarmellose sodium (Ac-Di-Sol® SD-711 NF),Tá dược,EP 9.0,"DuPont Nutrition USA, Inc.",USA,"1301 Ogletown Road, Newark, DE 19711",False
VD-23345-15,2024-12-31T00:00:00+07:00,Croscarmellose sodium,Tá dược,EP 9.0,"DuPont Nutrition USA, Inc.",USA,"1301 Ogletown Road, Newark, DE 19711",False
VD-23351-15,2022-12-31T00:00:00+07:00,Antifoam-Emulsion (Wacker® AS-EM SE 2 MC),Tá dược,In-house,"Wacker Chemie AG, Werk Nünchritz",Germany,"Friedrich-von-Heyden-Platz 1, D-01612 Nünchritz",False
VD-23353-15,2020-09-09T00:00:00+07:00,Desloratadin,Dược chất,In-house,Glenmark Life Sciences Limited,INDIA,"Plot No 3109, GIDC Industrial Estate, Ankleshwar, District Bharuch, Gujarat – 393 002",False
VD-23354-15,2022-12-31T00:00:00+07:00,Loratadine,Dược chất,USP 42,Vasudha Pharma Chem Limited,INDIA,"Unit-II, Plot.No:79, Jawaharlal Nehru Pharma City, Thanam Village, Parawada Mandal, Visakhapatnam District- 531019, Andhra Pradesh, India.",False
VD-23355-15,2020-09-09T00:00:00+07:00,Pyridoxine hydrochloride,Dược chất,EP 9.0,"Jiangxi Tianxin Pharmaceutical Co., Ltd.",CHINA,"Léanjiang Industrial Zone, Leping, Jiangxi, 333300",False
VD-23355-15,2022-12-31T00:00:00+07:00,Wheat starch TB,Tá dược,EP 9.0,Roquette Freres,France,"1, Rue De La Haute Loge, 62136 Lestrem",False
VD-23357-15,2020-09-09T00:00:00+07:00,Acetylcysteine,Dược chất,EP 9.0,"Moehs Catalana, S.L.",Spain,Spain,False
VD-23361-15,2020-09-09T00:00:00+07:00,Perindopril erbumin,Dược chất,EP 7.0,Glenmark Life Sciences Limited,INDIA,"Plot no. 3109 – C, GIDC Industrial Estate, Ankleshwar – 393 002, Dist. Bharuch, Gujarat State",False
VD-23371-15,2024-12-31T00:00:00+07:00,"Dihydroergotamin mesylat
(Dihydroergotamine mesilate)",Dược chất,USP phiên bản hiện hành,Teva Czech Industries s.r.o.,Czech Republic,-,False
VD-23371-15,2022-12-31T00:00:00+07:00,Dihydroergotamin mesylat,Dược chất,USP 41,CURIA Italy S.r.l.,ITALY,"Via Volturno, 41/43 – 20089 – Rozzano (MI)",False
VD-23371-15,2022-12-31T00:00:00+07:00,Dihydroergotamin mesylat,Dược chất,USP41,CURIA Italy S.r.l.,ITALY,"Via Volturno, 41/43 – 20089 – Rozzano (MI)",False
VD-23379-15,2020-09-09T00:00:00+07:00,Naloxon hydroclorid dihydrat,Dược chất,"USP 41, EP 9.0, BP 2018, TCCS",SpecGx LLC,United States (USA),"3600 N.2nd street, St.Louis, Missouri (MO) 63147, United States (USA)",False
VD-23379-15,2020-09-09T00:00:00+07:00,Naloxon hydroclorid dihydrat,Dược chất,"USP 41, EP 9.0, BP 2018, TCCS",Siegfried AG,Switzerland,Untere Bruhlstrasse 4 4800 Zofingen Switzerland,False
VD-23385-15,2020-09-09T00:00:00+07:00,Moxifloxacin hydrochloride,Dược chất,EP 7,"GVK Biosciences Private Limited, Manufacturing Unit-1",INDIA,"28A, IDA, Nacharam, Hyderabad 
500 076, India",True
VD-23386-15,2024-12-31T00:00:00+07:00,Indapamide,Dược chất,EP 9,"Suzhou Lixin Pharmaceutical Co, Ltd.",CHINA,"No 21, Tangxi Road, Suzhou New District, 25151, PR China",False
VD-23389-15,2024-12-31T00:00:00+07:00,Cefdinir,Dược chất,USP hiện hành,COVALENT LABORATORIES PRIVATE LIMITED,INDIA,"Survey No.374, Gundla Machanoor Village, Hathnoor Mandal, Sangareddy Dist-502296, Telangana, India",False
VD-23390-15,2024-12-31T00:00:00+07:00,Methylparaben,Tá dược,USP 35,"San Fu Chemical Co., Ltd",Taiwan,"NO.340, Hsiao-Hsin Li, Shan-Hua, Tainan, Taiwan",False
VD-23390-15,2024-12-31T00:00:00+07:00,Betamethasone dipropionate,Dược chất,USP 40,NEWCHEM S.P.A,ITALY,"Via Roveggia, 47 - 37136 Verona - Italy",False
VD-23390-15,2024-12-31T00:00:00+07:00,Natri dihydro phosphat (SODIUM DI HYDROGEN PHOSPHATE (Dihydrate)),Vỏ nang,USP 35,Annexe Chem Pvt. Ltd,India,"Plot no. 1116, Lamadapura road, Tal Savli Manjusar – 391 775,  Dist. Vadodara, Gujarat, India",False
VD-23390-15,2024-12-31T00:00:00+07:00,Propylen glycol,Tá dược,BP 2010,Dow Chemical  Pacific,Singapore,"B-1706,2301 Brazosport BLVD Freeport, Singapore",False
VD-23390-15,2024-12-31T00:00:00+07:00,Chlorocresol,Tá dược,USP 35,Merck,Germany,64293 Darmstadt Germany,False
VD-23390-15,2024-12-31T00:00:00+07:00,Polyoxyl 25 cetostearyl ether,Tá dược,USP 35,BASF SE,Germany,"Carl-Bosch-Str.38, 67056 Ludwwigshafen, Germany",False
VD-23390-15,2024-12-31T00:00:00+07:00,Parafin lỏng,Tá dược,BP 2010,"Kukdong oil & Chemical Co., Ltd",Korea,"334-36, Yusan- Dong, yangsan -si, Kyoungnan, Korea",False
VD-23390-15,2024-12-31T00:00:00+07:00,Vaselin,Tá dược,USP 35,SASOL WAX GmbH,Germany,"Worthdamm 13-27,20457 Hamburg, Postan Schrift Postfach 110249,20402 Germany",False
VD-23390-15,2024-12-31T00:00:00+07:00,Cetostearyl alcohol,Tá dược,USP 35,Mosselman,Belgium,Route De Wallonie 4B-7011 GHLIN Belgium TVA BE 0451 025 254,False
VD-23390-15,2024-12-31T00:00:00+07:00,Propylparaben,Tá dược,USP 35,"San Fu Chemical Co., Ltd",Taiwan,"NO.340, Hsiao-Hsin Li, Shan-Hua, Tainan, Taiwan",False
VD-23392-15,2024-12-31T00:00:00+07:00,Cefdinir,Dược chất,USP hiện hành,Covalent Laboratories Private Limited,INDIA,"Survey No.374, Gundla Machanoor Village, Hathnoor Mandal, Sangareddy Dist-502296, Telangana, India",False
VD-23414-15,2022-12-31T00:00:00+07:00,Povidone K-30 (Tên TM: PVP-K30 PH),Tá dược,USP hiện hành,Ashland (Site: ISP Chemicals LLC),United States,"455 N. Main St. (HWY 95) Calvert City, KY 42029, United States",False
VD-23414-15,2022-02-15T00:00:00+07:00,Sodium Starch Glycolate (Tên TM: Sodium Starch Glycolate (DST)),Tá dược,USP hiện hành,"Yung Zip Chemical Ind. Co., Ltd.",Đài Loan,"59, 61, You Shih Road, Youth Industrial District, Dajia, Taichung, Taiwan 43767, R.O.C.",False
VD-23414-15,2022-12-31T00:00:00+07:00,Ibuprofen,Dược chất,EP 9.0,"Shandong Xinhua Pharmaceutical Co., Ltd.",CHINA,"East Chemical Zone of Zibo High & New Technology
 Development Zone, Zibo, Shandong, Ch; Hutian Chemical
 Industrial Zone, Zibo, Shandong",False
VD-23414-15,2020-09-09T00:00:00+07:00,Acetaminophen (Paracetamol),Dược chất,USP 39,Granules India Ltd.,INDIA,"H. No. 6-5 & 6-11, Temple Road, Bonthapally (V), Gummadidala (M), Sangareddy District-502 313, Telangana State",False
VD-23414-15,2020-09-09T00:00:00+07:00,Ibuprofen,Dược chất,EP 9.0,IOL Chemicals and Pharmaceuticals Ltd,INDIA,"Village Fatehgard Channa, Mansa Road (Trident Complex), Barnala, Punjab, 148101",False
VD-23414-15,2022-02-15T00:00:00+07:00,Precipitated silica  (SYLOID 244),Tá dược,TCNSX,W.R.Grace  & Co.-Conn.,Mỹ,"Curtis Bay Plant, 5500 Chemical Road, Baltimore, MD 21226, USA",False
VD-23414-15,2020-09-09T00:00:00+07:00,Paracetamol,Dược chất,USP 39,"Hebei Jiheng (Group) Pharmaceutical Co., Ltd.",CHINA,"No.1 Weiwu street, Hengshui Industrial Park, Hebei province, China",False
VD-23414-15,2022-12-31T00:00:00+07:00,Povidone K-30 (Tên TM: PVP-K-30 PH HDPE Povidone K-30),Tá dược,USP hiện hành,Ashland (ISP Chemicals LLC Affiliate of Ashland),USA,"455 N. Main St. (HWY 95) Calvert City, KY 42029, United States",False
VD-23414-15,2022-02-15T00:00:00+07:00,Povidone K-30,Tá dược,USP hiện hành,BASF SE,Đức,"Carl-Bosch-Strasse 38, 67056 Ludwigshafen, Germany",False
VD-23414-15,2022-02-15T00:00:00+07:00,"FD&C Yellow #6, 89 -94% P.D. (Tên TM: FD&C Blue No 1 Alum Lake 11-13)",Tá dược,QCVN IV,"Sensient Colors, LLC",Mỹ,"2526 Baldwin Street, St. Louis, Missouri 63106, USA",False
VD-23414-15,2020-09-09T00:00:00+07:00,Ibuprofen 40 Grade,Dược chất,EP 9.0,SI Group,USA,"725 Cannon Bridge Road, Orangeburg, South Carolina",False
VD-23414-15,2022-02-15T00:00:00+07:00,Lactose Monohydrate Mesh 200 (Tên TM: 13007670 Granulac 200),Tá dược,EP hiện hành,Meggle GmbH & Co. KG,Đức,"Megglestr. 6-12, 83512 Wasserburg am Inn, Germany",False
VD-23414-15,2022-02-15T00:00:00+07:00,Magnesium Stearate  (Tên TM: Palmstar Mgst 325-BP/USP/EP Magnesium Stearate),Tá dược,USP hiện hành,Peter Greven Asia SDN BHD,Malaysia,Peter Greven Asia SDN BHD,False
VD-23414-15,2022-12-31T00:00:00+07:00,Precipitated Silica  (Tên TM: Syloid 244 FP),Tá dược,USP hiện hành,Grace GmbH,Germany,"In der Hollerhecke 1, 67547 Worms, Germany",False
VD-23414-15,2020-09-09T00:00:00+07:00,Ibuprofen,Dược chất,EP 9.0,Albemarle,USA,"725 Cannon Bridge Road, Orangeburg, South Carolina",False
VD-23414-15,2022-02-15T00:00:00+07:00,Maize Starch (Tên TM: 171181 H Powdered NF Corn Starch),Tá dược,EP hiện hành,"Roquette America, Inc.",Mỹ,"1003 S. 5th Street, Keokuk, IA 52632, USA",False
VD-23414-15,2022-02-15T00:00:00+07:00,Maize Starch  (Tên TM: Maize Starch B),Tá dược,EP hiện hành,Roquette Freres,Pháp,"1 Rue de la haute loge, 62136 Lestrem, France",False
VD-23414-15,2020-09-09T00:00:00+07:00,Paracetamol (Acetaminophen),Dược chất,USP 39,"Hebei Jiheng (Group) Pharmaceutical Co., Ltd, Shenzhou Plant",CHINA,"Southeast Xijingming Village, Donganzhuang Township, Shenzhou County Hengshui city",False
VD-23415-15,2022-02-22T00:00:00+07:00,Lactose Monohydrate Mesh 200 (Tên TM: 13007670 Granulac 200),Tá dược,EP 9.0,Meggle GmbH & Co. KG,Đức,"Megglestr. 6-12, 83512 Wasserburg am Inn, Germany",False
VD-23415-15,2022-02-22T00:00:00+07:00,Sodium Starch Glycolate (Tên TM: Sodium Starch Glycolate (DST)),Tá dược,USP 39,"Yung Zip Chemical Ind. Co., Ltd.",Trung Quốc,"59, 61, You Shih Road, Youth Industrial District, Dajia, Taichung, Taiwan 43767, R.O.C.",False
