SỐ ĐĂNG KÝ LƯU HÀNH,NGÀY HẾT HIỆU LỰC SỐ ĐĂNG KÝ,"TÊN TÁ DƯỢC, VỎ NANGTÊN CƠ SỞ SẢN XUẤT",NƯỚC SẢN XUẤT,TIÊU CHUẨN CHẤT LƯỢNG
VD-25293-16,2025-01-01T00:00:00+07:00,Lactose monohydrate (Tên khác: Lactose monohydrate #200mesh),VRS Foods Ltd.,India,BP/USP
VD-33401-19,2024-10-23T00:00:00+07:00,CETOMACROGOL 1000 PHARMA-PA-(SG),CRODA SINGAPORE PTE LTD,Singapore,EP 9.0
VD-34569-20,2025-12-21T00:00:00+07:00,Propyl paraben sodium,"ZHEJIANG SHENG XIAO CHEMICALS CO., LTD",China,BP 2020
VD-34569-20,2025-12-21T00:00:00+07:00,Methyl paraben sodium,"ZHEJIANG SHENG XIAO CHEMICALS CO., LTD",China,BP 2020
VD-35807-22,2027-09-26T00:00:00+07:00,Tutti Fruity Flavor A1187577,PT Mane Indonesia,Indonesia,TCCS
VD-32446-19,2024-02-27T00:00:00+07:00,Titan dioxyd,ROHA AJJT GROUP COMPANY,Ấn Độ,USP 35
VD-32446-19,2024-02-27T00:00:00+07:00,Allura red AC,ROHA AJJT GROUP COMPANY,Ấn Độ,QCVN 4-10:2010/BYT
VD-32446-19,2024-02-27T00:00:00+07:00,Sunset yellow FCF,BOLAK COMPANY LIMITED,Hàn Quốc,QCVN 4-10:2010/BYT
VD-32446-19,2024-02-27T00:00:00+07:00,Ethyl vanillin,BORREGAARD AS,Nauy,USP 35
VD-32446-19,2024-02-27T00:00:00+07:00,D- sorbitol 70%,ROQUETTE FRERES,Pháp,USP 35
VD-32446-19,2024-02-27T00:00:00+07:00,Glycerin đậm đặc,P&G CHEMICALS,Singapore,USP 35
VD-32446-19,2024-02-27T00:00:00+07:00,Gelatin,"SAMMI INDUSTRIAL CO., LTD.",Hàn Quốc,USP 35
VD-32446-19,2024-02-27T00:00:00+07:00,Sáp ong trắng,TER HELL & CO. GMBH,Đức,USP 35
VD-32446-19,2024-02-27T00:00:00+07:00,Dầu đậu nành hydro hóa một phần,"LOTTE FOOD CO., LTD. WELLGA FACTORY",Hàn Quốc,TCNSX
VD-32446-19,2024-02-27T00:00:00+07:00,Dầu lecithin,ARCHER DANIELS MIDLAND COMPANY,Mỹ,USP 35
VD-33114-19,2024-08-01T00:00:00+07:00,Magnesi stearat,"CM SHANGHAI CO., LTD",China,USP 39
VD-33114-19,2024-08-01T00:00:00+07:00,Polyoxyl 40 stearat,CRODA,Spain,USP 39
VD-33114-19,2024-08-01T00:00:00+07:00,Colloidal silicon dioxyd,EVONIK RESOURCE EFFICIENCY GMBH,Germany,USP 39
VD-33114-19,2024-08-01T00:00:00+07:00,Carboxymethyl cellulose calci,BOLAK COMPANY LIMITED,Korea,USP 39
VD-29532-18,2023-02-22T00:00:00+07:00,Titan dioxyd,ROHA AJJT GROUP COMPANY,Ấn Độ,USP 38
VD-29532-18,2023-02-22T00:00:00+07:00,Allura red AC,ROHA AJJT GROUP COMPANY,Ấn Độ,QCVN 4-10:2010/BYT
VD-29532-18,2023-02-22T00:00:00+07:00,Tartrazin,ROHA AJJT GROUP COMPANY,Ấn Độ,QCVN 4-10:2010/BYT
VD-29532-18,2023-02-22T00:00:00+07:00,Brilliant blue FCF,ROHA AJJT GROUP COMPANY,Ấn Độ,QCVN 4-10:2010/BYT
VD-29532-18,2023-02-22T00:00:00+07:00,Ethyl vanillin,BORREGAARD AS,Na Uy,USP 38
VD-29532-18,2023-02-22T00:00:00+07:00,Glycerin đậm đặc,P&G CHEMICALS,Singapore,USP 38
VD-29532-18,2023-02-22T00:00:00+07:00,Gelatin,"SAMMI INDUSTRIAL CO., LTD",Hàn Quốc,BP 2013
VD-32440-19,2024-02-27T00:00:00+07:00,Colloidal silicon dioxyd,EVONIK RESOURCE EFFICIENCY GMBH,Germany,USP 40
VD-32440-19,2024-02-27T00:00:00+07:00,Magnesi stearat,Nitika Pharmaceutical Specialities Pvt. Ltd.,India,USP 40
VD-32440-19,2024-02-27T00:00:00+07:00,Low-substituted Hydroxypropyl Cellulose,"Shandong Head Co., Ltd",China,USP 40
VD-32440-19,2024-02-27T00:00:00+07:00,Natri lauryl sulfat,Mosselman,Belgium,EP 9
VD-32440-19,2024-02-27T00:00:00+07:00,Carboxymethyl cellulose calci,BOLAK COMPANY LIMITED,Korea,USP 40
VD-30141-18,2023-03-27T00:00:00+07:00,Natri hydrophosphat,MERCK KGaA,Germany,USP 35
VD-30141-18,2023-03-27T00:00:00+07:00,Acid benzoic,Duksan Pure Chemicals Co. Ltd,Korea,USP 35
VD-30141-18,2023-03-27T00:00:00+07:00,Butyl Hydroxyanisol,Panreac Quimica S.L.U,Spain,USP 35
VD-30141-18,2023-03-27T00:00:00+07:00,Labrafil,GATTEFOSSE SAS,France,USP 35
VD-30141-18,2023-03-27T00:00:00+07:00,Tefose 63,GATTEFOSSE SAS,France,NSX
VD-30141-18,2023-03-27T00:00:00+07:00,Parafin lỏng,Panama Petrochem Ltd.,India,BP 2010
VD-25293-16,2022-12-31T00:00:00+07:00,Sodium stearyl fumarate (Tên thương mại Alubra® PG-100)),"DuPont Nutrition USA, Inc",USA,EP/USP/JP
VD-25293-16,2022-12-31T00:00:00+07:00,Cross carmellose sodium ( Tên thương mại ACROCELL R),Accent Microcell Pvt. Ltd.,India,USP-NF/EP/BP/JP
VD-25293-16,2022-12-31T00:00:00+07:00,Lacrose monohydrate (Tên thương mại PHARMATOSE 80M),DFE Pharma GmbH & Co. KG. Cơ sở sản xuất: FrieslandCampina DMV B.V.,Netherlands,USP/EP/JP
VD-31502-19,,Dinatri hydrophosphat (PharSQ Base DS 30 – Disodium Phosphate anhydrous),Chemische Fabrik Budenhiem KG,Đức,EP/USP
VD-17970-12,2022-12-31T00:00:00+07:00,"Glycerol dibehenate (Glyceryl dibehenate, Glyceryl behenate,  Tên thương mại Compritol 888 ATO)",GATTEFOSSÉ SAS,France,USP-NF/ EP
VD-31474-19,,Lactose monohydrate 80 (Sachelac 80),MEGGLE GmbH & Co. KG,Germany,"USP/NF, EP, JP"
VD-25517-16,2022-12-31T00:00:00+07:00,Opadry AMB II 88A650028 RED (Tên TM: Opadry AMB II High performance moisture barrier film coating 88A650028 RED),Colorcon Asia Pvt. Limited,India,TCNSX
VD-25517-16,2022-12-31T00:00:00+07:00,Opadry AMB II 88A650028 RED (Tên TM: Opadry AMB II High performance moisture barrier film coating 88A650028 RED),Shanghai Colorcon Coating Technology Limited,China,TCNSX
VD-23414-15,2022-12-31T00:00:00+07:00,Povidone K-30 (Tên TM: PVP-K-30 PH HDPE Povidone K-30),Ashland (ISP Chemicals LLC Affiliate of Ashland),USA,USP hiện hành
VD-23415-15,2022-12-31T00:00:00+07:00,Povidone K-30 (Tên TM: PVP-K-30 PH HDPE Povidone K-30),Ashland (ISP Chemicals LLC Affiliate of Ashland),USA,USP hiện hành
VD-21573-14,2022-12-31T00:00:00+07:00,Povidone K-30 (Tên TM: PVP-K-30 PH HDPE Povidone K-30),Ashland (ISP Chemicals LLC Affiliate of Ashland),USA,USP hiện hành
VD-28645-17,2022-12-31T00:00:00+07:00,Isopropylmethyl phenol,"Sumitomo Chemical Company, Limited",Nhật Bản,JSQI 2006
VD-28645-17,2022-12-31T00:00:00+07:00,Synthetic aluminum silicate,"Kyowa Chemical Industry Co., Ltd",Nhật Bản,JP hiện hành (JP 17)
VD-28645-17,2022-12-31T00:00:00+07:00,Partially neutralized polyacrylate,Showa Denko K.K,Nhật Bản,JPE hiện hành (JPE 2018)
VD-18885-13,2022-12-31T00:00:00+07:00,Quintac Thermoplastic rubber 3570C,Zeon Corporation,Nhật Bản,JPE hiện hành (JPE 2018)
VD-22387-15,2022-12-31T00:00:00+07:00,Oppanol N-100,BASF,Canada,Tiêu chuẩn cơ sở
VD-22681-15,2027-12-30T00:00:00+07:00,Antifoam-Emulsion (Wacker® AS-EM SE 2 MC),"Wacker Chemie AG, Werk Nunchritz",Germany,TCCS
VD-31103-18,2023-10-08T00:00:00+07:00,Cellactose® 80,MEGGLE GmbH & Co. KG,Germany,NSX
VD-28665-18,2023-01-08T00:00:00+07:00,Lactose,MEGGLE GmbH & Co. KG,Germany,BP 2016
VD-33395-19,2024-10-23T00:00:00+07:00,Polysorbate 60,CRODA SINGAPORE PTE LTD,Singapore,EP 9.0
VD-30933-18,,Hỗn hợp cellulose vi tinh thể và carboxymethyl cellulose natri (Avicel® RC-591 NF),"DuPont Nutrition USA,Inc",USA,USP/EP
VD-18524-13,2022-12-31T00:00:00+07:00,Magnesium stearate ( Tên TM: Tablube),NITIKA PHARMACEUTICAL SPECIALITIES PVT. LTD.,India,USP 30-NF 25
VD-18524-13,2022-12-31T00:00:00+07:00,Microcrystalline cellulose PH-102( Tên TM : Comprecel -Type: M102D+),"MINGTAI CHEMICAL CO., LTD.","Taiwan, R.O.C",USP 30-NF 25
VD-18524-13,2022-12-31T00:00:00+07:00,Crospovidone ( Tên TM: Polyplasdone XL Type A),ASHLAND SPECIALITY INGREDIENTS (ISP CHEMICALS LLC),USA,USP 30-NF 25
VD-18524-13,2022-12-31T00:00:00+07:00,Flowlac 100,MEGGLE GMBH & CO. KG,Germany,USP 30-NF 25
VD-18524-13,2022-12-31T00:00:00+07:00,Lactose monohydrate ( Tên TM: Milled Lactose Monohydrate),DFE PHARMA (DMV-Fonterra Excipients GmbH & Co. KG),The Netherlands,USP 30-NF 25
VD3-39-20,,VIVACOAT PM (VIVACOAT PM-1P-000),JRS PHARMA GmbH & CO. KG (MICROCELLU LOSE WEISSENBORN GmbH & CO. KG),Đức,TC NSX
VD-35144-21,2026-06-03T00:00:00+07:00,Glyceryl behenat,Gattefosse SAS,France,USP
VD-24574-16,2022-12-31T00:00:00+07:00,Gelot 64 (Mixture of Glycerol monostearate and PEG-75 stearate),GATTEFOSSÉ SAS,France,In-house
VD-24574-16,2022-12-31T00:00:00+07:00,"Emulcire 61 WL2659 (Emulsifier, mixture of Cetyl Alcohol and Ethoxylated Fatty Alcohols (Ceteth-20, Steareth-20))",GATTEFOSSÉ SAS,France,In-house
VD-34908-20,2025-12-21T00:00:00+07:00,Tutti frutti flavour 77919-31,"Givaudan Schweiz AG, PID Switzerland",Switzerland,In-house
VD-21117-14,2022-12-31T00:00:00+07:00,Cool mint flavour 76175-51,PT. Givaudan Indonesia,Indonesia,In-house
VD-23962-15,2022-12-31T00:00:00+07:00,Neosorb 70/70 B (Liquid Sorbitol),Roquette Freres,France,EP 9.8
VD-23962-15,2022-12-31T00:00:00+07:00,Peppermint Flavour 426-00374-05,Givaudan Singapore Pte Ltd,Singapore,In-house
VD-17765-12,2027-05-25T00:00:00+07:00,Opadry® II complete film coating system 03F52274 yellow,Shanghai Colorcon Coating Technology Limited,China,In-house
VD-32399-19,2024-02-27T00:00:00+07:00,Silicified Microcrystalline Cellulose (PROSOLV SMCC 50),JRS PHARMA LP (JRS PHARMA GmbH & Co. KG),USA,In-house
VD-32399-19,2024-02-27T00:00:00+07:00,Croscarmellose Sodium (VIVASOL),CHP CARBOHYDRATE PIRNA GmbH & CO. KG (JRS PHARMA GmbH & Co. KG),Germany,EP 9.0
VD-32399-19,2024-02-27T00:00:00+07:00,"Sodium Starch Glycolate, Type A (EXPLOTAB)",CHP CARBOHYDRATE PIRNA GmbH & CO. KG (JRS PHARMA GmbH & Co. KG),Germany,EP 9.0
VD-27523-17,2022-12-31T00:00:00+07:00,Maize starch B,Roquette Freres,France,EP 10.0
VD-27523-17,2022-12-31T00:00:00+07:00,Eudragit® E 100 (Basic butylated methacrylate copolymer),Evonik Operations GmbH,Germany,EP 10.0
VD-29500-18,2023-02-22T00:00:00+07:00,Era - gel: Starch  (Gelatinized),"Cho Heng Rice Vermicelli Factory Co., Ltd",Thailand,EP 10.0
VD-23992-15,2027-05-25T00:00:00+07:00,VANILLA FLAVOUR 004-00206-06,Givaudan Singapore Pte Ltd,Singapore,In-house
VD-29364-18,2023-02-22T00:00:00+07:00,Indigo carmine (EDICOL INDIGO CARMINE),UNIVAR SOLUTION,England,Nhà sản xuất
VD-29364-18,2023-02-22T00:00:00+07:00,Magnesium stearate,FACI ASIA PACIFIC PTE LTD,Singapore,EP 9th
VD-29364-18,2023-02-22T00:00:00+07:00,Colloidal anhydrous silica (AEROSIL 200),Evonik Operations GmbH,Germany,Ph. Eur. 9
VD-29364-18,2023-02-22T00:00:00+07:00,Colloidal anhydrous silica (Fumed Metal Oxide / CAB-O-SIL M-5P),CABOT GmbH,Germany,Ph. Eur. 9
VD-29364-18,2023-02-22T00:00:00+07:00,Sodium lauril sulfate (Kolliphor SLS Fine),BASF Personal Care and Nutrition GmbH,Germany,Ph. Eur. 9
VD-29364-18,2023-02-22T00:00:00+07:00,Microcrystalline cellulose (Avicel PH 101),"MINGTAI CHEMICAL CO, Ltd.",Taiwan,EP 9
VD-29364-18,2023-02-22T00:00:00+07:00,Microcrystalline cellulose (Avicel PH 101 / Microcel),ITACEL FARMOQUÍMICA LTDA,Brazil,EP 9
VD-29364-18,2023-02-22T00:00:00+07:00,Sodium starch glycolate (Glycolys/Roquette Sodium Starch Glycolate),ROQUETTE FRERES,France,EP 9
VD-29364-18,2023-02-22T00:00:00+07:00,Sodium starch glycolate (EXPLOTAB),"YUNG ZIP CHEMICAL IND. CO., LTD",Taiwan,EP 9
VD-35771-22,2027-09-09T00:00:00+07:00,Sodium hydroxide pellets,Merck KGaA,Đức,"EP, BP, NF, Ph Franc hiện hành"
VD-35771-22,2027-09-09T00:00:00+07:00,Sulfuric acid 95-98%,Merck KGaA,Đức,"EP, BP, FCC, E524, JP, NF hiện hành"
VD-35771-22,2027-09-09T00:00:00+07:00,Titriplex III (ethylenedinitrilotetraacetic acid disodium salt dihydrate),Merck KGaA,Đức,"ACS, ISO, Reag. EP hiện hành"
VD-35771-22,2027-09-09T00:00:00+07:00,Sodium disulfite (sodium metabisulfite),Merck KGaA,Đức,"E223, EP, BP, JP, NF hiện hành"
VD-35912-22,2027-09-26T00:00:00+07:00,Tri-sodium citrate 2-hydrate,Panreac Quimica S.L.U.,Tây Ban Nha,USP hiện hành
VD-35912-22,2027-09-26T00:00:00+07:00,Sodium chloride,Merck KgaA,Đức,EP hiện hành
VD-35912-22,2027-09-26T00:00:00+07:00,Citric acid monohydrate,Merck KgaA,Đức,EP hiện hành
VD-35914-22,2027-09-26T00:00:00+07:00,Sodium hydroxide pellets,Merck KGaA,Đức,"EP, BP, NF, Ph Franc hiện hành"
VD-35914-22,2027-09-26T00:00:00+07:00,Sulfuric acid 95-98%,Merck KGaA,Đức,"EP, BP, FCC, E524, JP, NF hiện hành"
VD-35914-22,2027-09-26T00:00:00+07:00,Titriplex III (ethylenedinitrilotetraacetic acid disodium salt dihydrate),Merck KGaA,Đức,"ACS, ISO, Reag. EP hiện hành"
VD-35914-22,2027-09-26T00:00:00+07:00,Sodium disulfite (sodium metabisulfite),Merck KGaA,Đức,"E223, EP, BP, JP, NF hiện hành"
VD-35913-22,2027-09-26T00:00:00+07:00,Acetic acid (glacial),Merck KGaA,Đức,EP hiện hành
VD-35913-22,2027-09-26T00:00:00+07:00,Sodium Formaldehyde Sulfoxylate x-hydrate,Panreac Applichem,Đức,NF hiện hành
VD-35913-22,2027-09-26T00:00:00+07:00,Ethanolamine,Merck KGaA,Đức,NF hiện hành
VD-21309-14,2027-09-26T00:00:00+07:00,Cellactose® 80,Meggle GmbH & Co. KG,Germany,Nhà sản xuất
VD-35445-21,2026-11-01T00:00:00+07:00,Tabletose® 80,Meggle GmbH & Co. KG,Germany,EP 9.0
VD-19887-13,2027-05-23T00:00:00+07:00,GranuLac® 200,Meggle GmbH & Co. KG,Germany,EP 9.0
VD-20750-14,2022-12-31T00:00:00+07:00,Opadry® AMB Aqueous Moisture Barrier Coating System 80W52906 Yellow,Colorcon Asia Pvt. Limited (COLORCON),India,Nhà sản xuất
VD-23301-15,2022-12-31T00:00:00+07:00,Polysorbate 20 ( Tên TM: SP Tween 20 MBAL- LQ -( SG),CRODA SINGAPORE PTE LTD,Singapore,USP 35- NF 30
VD-23301-15,2022-12-31T00:00:00+07:00,Benzyl alcohol,"DAEJUNG CHEMICALS  & METALS CO., LTD.",Korea,USP 35- NF 30
VD-23301-15,2022-12-31T00:00:00+07:00,L-Menthol ( Tên TM: ( Natural) L- Menthol Crystals),TIEN YUAN CHEMICAL (PTE) LTD.,Singapore,USP 35- NF 30
VD-23301-15,2022-12-31T00:00:00+07:00,Triethanolamine,PANREAC APPLICHEM ( PANREAC QUÍMICA SLU),Spain,USP 35-NF 30
VD-23301-15,2022-12-31T00:00:00+07:00,D-sorbitol solution 70%,"PAIK KWANG INDUSTRIAL CO., LTD.",Korea,USP 35-NF 30
VD-23301-15,2022-12-31T00:00:00+07:00,Propylene glycol,THE DOW CHEMICAL COMPANY (Dow Chemical Thailand Ltd.),Thailand,USP 35-NF 30
VD-23301-15,2022-12-31T00:00:00+07:00,Hydroxypropyl cellulose (H) (HPC-H),"NIPPON SODA CO., LTD.",Japan,USP 35- NF 30
VD-23301-15,2022-12-31T00:00:00+07:00,Carbomer 940 ( Tên TM: Carbopol 940),LUBRIZOL ADVANCED MATERIALS INC.,USA,USP 35-NF 30
VD-20448-14,2025-09-26T00:00:00+07:00,SACHELAC 80,Meggle GmbH & Co. KG,Germany,EP 9.0
VD-34670-20,2025-12-21T00:00:00+07:00,Vivapur MCG 811P,JRS PHARMA GmbH & CO. KG. Nhà máy Microcellulose Weissenborn GmbH + Co. KG,Đức,USP 40/BP 2016/EP 8.0
SP-1187-20,2025-11-18T00:00:00+07:00,"Sorbitol (dưới dạng Sorbitol  syrup,  Noncrystallizin g)",Merck KgaA,Đức,BP 2014
SP-1187-20,2025-11-18T00:00:00+07:00,Polysorbate 20,NOF Corporation,Nhật bản,USP 38
SP-1187-20,2025-11-18T00:00:00+07:00,Glacial acetic acid,Merck KgaA,Đức,JP 16
SP-1187-20,2025-11-18T00:00:00+07:00,Sodium  hydroxide,Merck KgaA,Đức,USP 38
VD-28015-17,2022-12-31T00:00:00+07:00,Titanium dioxide (10004 PRETIOX AV01FG),PRECHEZA a.s.,Czech Republic,EP 10.0
VD-28015-17,2022-12-31T00:00:00+07:00,Macrogols 6000 (Lipoxol 6000 Med Powder),Sasol Germany GmbH,Germany,EP 10.0
VD-28015-17,2022-12-31T00:00:00+07:00,"Hydroxypropylcellulose (Hydroxypropylcellulose, HPC-L)","NIPPON SODA CO., LTD",Japan,EP 10.0
VD-28015-17,2022-12-31T00:00:00+07:00,"Cellulose, Microcrystalline M101 (Pharmacel® 101)",DFE PHARMA INDIA PRIVATE LIMITED,India,EP 10.0
VD-28015-17,2022-12-31T00:00:00+07:00,Lactose monohydrate (Pharmatose 200M),FRIESLANDCAMPINA DMV B.V.,The Netherlands,EP 10.0
VD-31556-19,2024-02-27T00:00:00+07:00,Lactose monohydrate (Granulac 200),Meggle GmbH & Co. KG,Germany,DĐVN IV
VD-33302-19,2024-10-23T00:00:00+07:00,Methacrylic  Acid - Ethyl  Acrylate  Copolymer  (1:1) Tuýp A  ( EUDRAGIT® L 100-55),Evonik Operations GmbH,Germany,EP  phiên  bản  hiện  hành  (EP 10)
VD-22763-15,2022-12-31T00:00:00+07:00,"Natri hydroxyd (Sodium Hydroxide pellets pure, pharma grade)",Panreac Química S.L.U.,España,BP phiên bản hiện hành (BP 2019)
VD-22763-15,2022-12-31T00:00:00+07:00,Natri clorid (Pharmaceutical Sodium cloride),Dominion salt Limited,New Zealand,USP phiên bản hiện hành (USP 42)
VD-22763-15,2022-12-31T00:00:00+07:00,Borneol (Natural Borneol),Jiangxi Cedar Natural Pharmaceutical Oil Co. Ltd.,China,CP 2015
VD-22763-15,2022-12-31T00:00:00+07:00,Nipasol (Propylparaben),"San Fu Chemical Co., Ltd",Taiwan,USP phiên bản hiện hành (USP 42)
VD-22763-15,2022-12-31T00:00:00+07:00,Nipagin (Methylparaben),"San Fu Chemical Co., Ltd.",Taiwan,USP phiên bản hiện hành (USP 42)
VD-22763-15,2022-12-31T00:00:00+07:00,Natri citrat (Sodium citrate),Finar Limted,India,EP phiên bản hiện hành (EP 9)
VD-22763-15,2022-12-31T00:00:00+07:00,Natri citrat (Sodium Citrate BP/USP 30-80MESH),"Cofco Biochemical (Maanshan) Co., Ltd",China,BP phiên bản hiện hành (BP 2019)
VD-22763-15,2022-12-31T00:00:00+07:00,"Natri chondroitin sulfat (Chondroitin Sulfate Sodium (Bovine Origin)), (ScanDroitinTM)",ZPD A/S,Denmark,EP phiên bản hiện hành (EP 9)
CN-1-21,2026-02-24T00:00:00+07:00,Natri hydroxyd (Sodium hydroxide pellets),Panreac Quimica S.L.U,Spain,EP phiên bản hiện hành (EP 9)
CN-1-21,2026-02-24T00:00:00+07:00,Nhũ tương simethicon (Simethicone emulsion) (LiveoTM 7-9245 30% Simethicone Emulsion),Hemlock  DDP –HIMS,United States,USP phiên bản hiện hành (USP 42)
CN-1-21,2026-02-24T00:00:00+07:00,Cithrol S20BW (CITHROL S20BW-SO-(AP)),"Croda, Inc.",USA,Nhà sản xuất
CN-1-21,2026-02-24T00:00:00+07:00,Glyceryl monostearat (Cutina® GMS V),BASF,Germany,Nhà sản xuất
CN-1-21,2026-02-24T00:00:00+07:00,Carbopol 934 (Carbopol® 934 polymer),"Lubrizol Advanced-Materials, Inc.",USA,Nhà sản xuất
CN-1-21,2026-02-24T00:00:00+07:00,Natri lauryl sulfat (Empicol LX/N),Innospec Performance Chemicals Italia Srl.,Italia,EP phiên bản hiện hành (EP 9)
VD-26004-16,2022-11-15T00:00:00+07:00,Kyron T112B  (Kyron  T-112B),Corel Pharma  Chem,India,Nhà sản  xuất
VD-32610-19,2024-05-10T00:00:00+07:00,Acid stearic (Kolliwax® S Fine),BASF Personal Care and Nutrition GmbH,Germany,EP phiên bản hiện hành (EP 10)
VD-32610-19,2024-05-10T00:00:00+07:00,Mùi blueberry (Blueberry Flavour 97378-31),Givaudan Schweiz AG,Switzerland,Nhà sản xuất
VD-32610-19,2024-05-10T00:00:00+07:00,Tinh bột biến tính (National 78-1551),Ingredion Incorporated,USA,USP-N F phiên bản hiện hành (USP-N F 2021)
VD-32610-19,2024-05-10T00:00:00+07:00,Tinh bột mì (wheat starch TB),Roquette Freres,France,EP phiên bản hiện hành (EP 10)
GC-284-17,2022-09-19T00:00:00+07:00,Sắt oxyd vàng (Iron oxide yellow),Roha Dyechem Pvt. Ltd,India,USP 43
GC-284-17,2022-09-19T00:00:00+07:00,Sắt oxyd đỏ (Iron oxide red),Neelikon Food Dyes & Chemicals Ltd.,India,USP 43
GC-284-17,2022-09-19T00:00:00+07:00,Sắt oxyd đỏ (Iron oxide red),Roha Dyechem Pvt. Ltd,India,USP 43
GC-284-17,2022-09-19T00:00:00+07:00,Titan dioxyd (Titanium dioxide),"Roha Europe, S.L.U",Spain,EP 10
GC-284-17,2022-09-19T00:00:00+07:00,Talc,Imerys Talc Luzenac France,France,EP 10
GC-284-17,2022-09-19T00:00:00+07:00,Macrogol (Polyethylene glycol) 6000,Sasol Germany GmbH,Germany,EP 10
GC-284-17,2022-09-19T00:00:00+07:00,Magnesi stearat (Magnesium stearate),Merck KGaA,Germany,EP 10
GC-284-17,2022-09-19T00:00:00+07:00,Crospovidon (Crospovidone),ISP CHEMICALS LLC Affiliate of Ashland specialty ingredients (ASI),United States,EP 10
GC-284-17,2022-09-19T00:00:00+07:00,Hypromellose,"Nutrition & Biosciences USA 1, LLC  LA Methocel Operation",United States,EP 10
GC-284-17,2022-09-19T00:00:00+07:00,Cellulose vi tinh thể (Microcrystalline cellulose),JRS Pharma GMBH & CO. KG. Nhà máy: Microcellulose Weiβenborn GmbH & Co KG,Germany,EP 10
GC-340-21,2026-06-23T00:00:00+07:00,Quinoline yellow lake (E104),Roha Dyechem Pvt. Ltd.,India,Nhà sản xuất
GC-340-21,2026-06-23T00:00:00+07:00,Talc,Imerys Talc Luzenac France,France,EP 9
GC-340-21,2026-06-23T00:00:00+07:00,Opadry white II 85F18422,Colorcon,China,Nhà sản xuất
GC-340-21,2026-06-23T00:00:00+07:00,Magnesium stearate (Magnesi stearat),Merck KGaA,Germany,EP 9
GC-340-21,2026-06-23T00:00:00+07:00,Povidone K30 (Povidon K30),ISP TECHNOLOGIES INC,USA,EP 9
GC-340-21,2026-06-23T00:00:00+07:00,Colloidal anhydrous silica (Silic dioxyd khan thể keo),Evonik Resource Efficiency GmbH. Nhà máy: Site Rheinfelden,Germany,EP 9
GC-340-21,2026-06-23T00:00:00+07:00,Crospovidone type A (Crospovidon typ A),ISP Chemicals LLC,USA,EP 9
GC-340-21,2026-06-23T00:00:00+07:00,Microcrystalline cellulose PH 101 (Cellulose vi tinh thể PH 101),JRS Pharma GmbH & Co. KG,Germany,EP 9
GC-341-21,2026-06-23T00:00:00+07:00,Quinoline yellow lake (E104),Roha Dyechem Pvt. Ltd.,India,Nhà sản xuất
GC-341-21,2026-06-23T00:00:00+07:00,Talc,Imerys Talc Luzenac France,France,EP 9
GC-341-21,2026-06-23T00:00:00+07:00,Opadry white II 85F18422,Colorcon,China,Nhà sản xuất
GC-341-21,2026-06-23T00:00:00+07:00,Magnesium stearate (Magnesi stearat),Merck KGaA,Germany,EP 9
GC-341-21,2026-06-23T00:00:00+07:00,Povidone K30 (Povidon K30),ISP TECHNOLOGIES INC,USA,EP 9
GC-341-21,2026-06-23T00:00:00+07:00,Colloidal anhydrous silica (Silic dioxyd khan thể keo),Evonik Resource Efficiency GmbH. Nhà máy: Site Rheinfelden,Germany,EP 9
GC-341-21,2026-06-23T00:00:00+07:00,Crospovidone type A (Crospovidon type A),ISP Chemicals LLC,USA,EP 9
GC-341-21,2026-06-23T00:00:00+07:00,Microcrystalline cellulose PH 101 (Cellulose vi tinh thể PH 101),JRS Pharma GmbH & Co. KG,Germany,EP 9
GC-283-17,2022-09-19T00:00:00+07:00,Magnesi stearat (Magnesium stearate),Merck KGaA,Germany,EP 10
GC-283-17,2022-09-19T00:00:00+07:00,Cellulose bột (Powdered cellulose),JRS Pharma GmbH & Co KG,Germany,EP 10
GC-283-17,2022-09-19T00:00:00+07:00,Croscarmellose natri (Croscarmellose sodium),Gujarat Microwax Private Limited,India,EP 10
GC-283-17,2022-09-19T00:00:00+07:00,Cellulose vi tinh thể (Microcrystalline cellulose),JRS Pharma GmbH & Co KG,Germany,EP 10
GC-283-17,2022-09-19T00:00:00+07:00,Lactose monohydrat (phun sấy)   (Spay-dried lactose monohydrate),Molkerei Meggle Wasserburg GmbH & Co.KG.,Germany,EP 10
GC-316-19,2024-02-27T00:00:00+07:00,Magnesi stearat (Magnesium stearate),Merck KGaA,Germany,EP 10
GC-316-19,2024-02-27T00:00:00+07:00,Croscarmellose natri (Croscarmellose sodium),Gujarat Microwax Pvt. Ltd  Unit-II,India,EP 10
GC-316-19,2024-02-27T00:00:00+07:00,Cellulose vi tinh thể PH101 (Microcrystalline cellulose),JRS Pharma GMBH & CO. KG,Germany,EP 10
GC-316-19,2024-02-27T00:00:00+07:00,Blue lake E132 (Lake indigo carmine E132),Roha Dyechem Viet Nam Ltd.,Việt Nam,NSX
GC-316-19,2024-02-27T00:00:00+07:00,Blue lake E132 (Lake indigo carmine E132),Roha Dyechem Pvt. Ltd.,India,NSX
GC-316-19,2024-02-27T00:00:00+07:00,Lactose monohydrat (phun sấy)   (Spay-dried lactose monohydrate),Molkerei MEGGLE Wasserburg GmbH & Co. KG,Germany,EP 10
GC-315-19,2024-02-27T00:00:00+07:00,Magnesi stearat (Magnesium stearate),Merck KGaA,Germany,EP 10
